longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,income_cat
-122.08,37.6,10.0,3046.0,678.0,20.56,628.0,3.9022,191700.0,NEAR BAY,3.0
-121.25,38.01,16.0,2397.0,501.0,10.53,557.0,2.6994,112500.0,INLAND,2.0
-117.11,32.75,46.0,695.0,182.0,6.01,195.0,2.4219,90600.0,NEAR OCEAN,2.0
-119.76,36.71,29.0,1745.0,441.0,15.3,391.0,1.5611,44400.0,INLAND,2.0
-117.88,34.13,25.0,2559.0,654.0,16.74,623.0,2.8547,155600.0,<1H OCEAN,2.0
-118.45,34.15,20.0,3876.0,799.0,13.34,753.0,4.5656,478400.0,<1H OCEAN,4.0
-118.36,33.94,33.0,939.0,284.0,13.09,250.0,3.4063,152300.0,<1H OCEAN,3.0
-121.94,36.97,31.0,1738.0,422.0,7.46,355.0,2.5172,330800.0,NEAR OCEAN,2.0
-122.13,37.46,31.0,2247.0,573.0,17.11,511.0,3.2642,185600.0,NEAR BAY,3.0
-117.74,33.89,4.0,37937.0,5471.0,161.22,5189.0,7.4947,366300.0,<1H OCEAN,5.0
-118.39,34.05,42.0,1467.0,203.0,5.77,204.0,6.6368,500001.0,<1H OCEAN,5.0
-117.8,33.83,17.0,2971.0,350.0,11.8,346.0,11.1228,500001.0,<1H OCEAN,5.0
-122.73,38.47,16.0,1834.0,391.0,9.94,390.0,3.7266,156500.0,<1H OCEAN,3.0
-118.72,34.28,17.0,2654.0,478.0,13.92,451.0,5.4459,223900.0,<1H OCEAN,4.0
-118.31,33.84,52.0,1819.0,464.0,10.68,424.0,3.625,270700.0,<1H OCEAN,3.0
-118.45,34.06,52.0,204.0,34.0,11.54,28.0,9.337,500001.0,<1H OCEAN,5.0
-121.89,37.69,4.0,6159.0,1510.0,26.49,1241.0,3.62,139300.0,<1H OCEAN,3.0
-121.81,37.26,16.0,1911.0,327.0,11.58,332.0,5.9359,249500.0,<1H OCEAN,4.0
-121.77,37.33,9.0,3160.0,468.0,16.75,470.0,7.5443,348400.0,<1H OCEAN,5.0
-118.23,33.93,23.0,545.0,131.0,6.1,126.0,1.4861,95100.0,<1H OCEAN,1.0
-118.35,34.17,42.0,1604.0,326.0,8.14,329.0,4.4408,216000.0,<1H OCEAN,3.0
-121.86,38.0,4.0,4075.0,927.0,22.39,849.0,3.5857,165200.0,INLAND,3.0
-118.02,34.05,33.0,2464.0,627.0,29.32,568.0,3.0625,165800.0,<1H OCEAN,3.0
-121.89,38.02,36.0,2707.0,550.0,18.27,545.0,3.3371,94600.0,INLAND,3.0
-118.22,34.03,45.0,554.0,214.0,8.88,218.0,1.8125,139600.0,<1H OCEAN,2.0
-118.17,33.77,25.0,4405.0,1262.0,21.78,1090.0,3.0503,225000.0,NEAR OCEAN,3.0
-117.93,33.8,29.0,1672.0,267.0,8.91,281.0,4.8611,231900.0,<1H OCEAN,4.0
-117.27,34.5,7.0,2045.0,342.0,8.78,292.0,6.0296,194100.0,INLAND,5.0
-119.82,34.44,22.0,2239.0,475.0,10.16,434.0,4.875,295400.0,NEAR OCEAN,4.0
-119.0,35.31,37.0,1337.0,275.0,7.67,273.0,1.6522,53300.0,INLAND,2.0
-116.98,32.73,16.0,952.0,143.0,5.3,143.0,5.0864,175300.0,<1H OCEAN,4.0
-118.11,34.17,46.0,2837.0,592.0,14.53,549.0,3.1115,234600.0,INLAND,3.0
-120.86,38.75,15.0,1533.0,300.0,6.74,287.0,2.5625,146100.0,INLAND,2.0
-121.44,38.5,27.0,2527.0,439.0,10.89,415.0,4.088,96800.0,INLAND,3.0
-119.85,34.44,28.0,1765.0,301.0,11.73,297.0,6.0256,276800.0,NEAR OCEAN,5.0
-119.8,34.43,27.0,3143.0,537.0,17.6,570.0,4.6957,271500.0,NEAR OCEAN,4.0
-118.29,33.92,34.0,1799.0,362.0,12.93,355.0,3.6919999999999997,145200.0,<1H OCEAN,3.0
-121.89,37.3,47.0,2355.0,426.0,9.61,428.0,5.3955,282300.0,<1H OCEAN,4.0
-117.59,33.65,4.0,1793.0,390.0,8.97,386.0,4.2463,182800.0,<1H OCEAN,3.0
-118.11,33.88,19.0,3203.0,708.0,17.61,667.0,4.0911,239700.0,<1H OCEAN,3.0
-116.82,34.24,11.0,5799.0,1527.0,7.13,262.0,2.5147,84700.0,INLAND,2.0
-122.17,37.75,41.0,1257.0,271.0,8.28,230.0,2.5043,92300.0,NEAR BAY,2.0
-118.05,33.9,41.0,550.0,129.0,6.42,125.0,1.875,119900.0,<1H OCEAN,2.0
-118.18,33.84,35.0,1415.0,294.0,5.91,291.0,2.9798,315600.0,NEAR OCEAN,2.0
-117.89,33.89,17.0,1671.0,192.0,6.78,206.0,13.1107,467600.0,<1H OCEAN,5.0
-117.25,33.7,10.0,5156.0,941.0,22.94,747.0,3.58,113400.0,<1H OCEAN,3.0
-124.3,41.8,19.0,2672.0,552.0,12.98,478.0,1.9797,85800.0,NEAR OCEAN,2.0
-122.28,37.78,29.0,5154.0,,37.41,1273.0,2.5762,173400.0,NEAR BAY,2.0
-121.01,37.67,37.0,2483.0,459.0,10.72,445.0,3.0721,108100.0,INLAND,3.0
-122.15,37.72,47.0,1190.0,251.0,5.4,266.0,3.375,198300.0,NEAR BAY,3.0
-117.07,32.61,22.0,5016.0,1331.0,32.22,1196.0,2.1441,135500.0,NEAR OCEAN,2.0
-117.83,33.79,25.0,2070.0,513.0,10.78,460.0,2.9312,220100.0,<1H OCEAN,2.0
-117.87,33.72,39.0,3167.0,669.0,27.89,619.0,3.5902,165900.0,<1H OCEAN,3.0
-121.42,38.51,15.0,7901.0,1422.0,47.69,1418.0,2.8139,90400.0,INLAND,2.0
-116.67,32.97,16.0,349.0,74.0,1.2,43.0,5.359,193800.0,<1H OCEAN,4.0
-118.26,34.14,29.0,3431.0,1222.0,40.94,1205.0,2.2614,248100.0,<1H OCEAN,2.0
-118.1,33.85,19.0,993.0,174.0,5.72,175.0,5.7039,277600.0,<1H OCEAN,4.0
-121.7,38.1,19.0,4896.0,1083.0,21.5,905.0,3.3398,89700.0,INLAND,3.0
-120.79,37.49,44.0,1186.0,225.0,6.87,234.0,3.4167,160700.0,INLAND,3.0
-118.02,34.08,31.0,2402.0,632.0,28.3,603.0,2.3333,164200.0,INLAND,2.0
-118.36,33.9,18.0,3380.0,922.0,22.76,854.0,4.0727,214000.0,<1H OCEAN,3.0
-121.22,38.67,20.0,1412.0,226.0,7.0,227.0,4.05,130700.0,INLAND,3.0
-115.98,33.32,8.0,240.0,46.0,0.63,24.0,1.4688,53800.0,INLAND,1.0
-120.69,37.77,46.0,431.0,86.0,2.39,80.0,3.3182,282100.0,INLAND,3.0
-122.46,37.77,52.0,3193.0,688.0,20.99,681.0,3.9375,402900.0,NEAR BAY,3.0
-118.32,34.04,42.0,1766.0,404.0,11.17,367.0,2.0259,168800.0,<1H OCEAN,2.0
-116.96,32.8,16.0,3920.0,1094.0,26.12,1023.0,1.3291,120800.0,<1H OCEAN,1.0
-117.97,34.01,33.0,3530.0,700.0,29.59,679.0,3.7459,152900.0,<1H OCEAN,3.0
-118.27,33.79,31.0,1535.0,369.0,12.91,340.0,2.9375,174000.0,<1H OCEAN,2.0
-121.21,38.83,21.0,3691.0,640.0,17.58,603.0,3.5607,151900.0,INLAND,3.0
-122.41,37.79,52.0,3302.0,869.0,11.78,727.0,3.3681,500001.0,NEAR BAY,3.0
-117.99,34.16,40.0,3838.0,696.0,18.51,674.0,4.2407,262000.0,INLAND,3.0
-121.45,38.54,47.0,1159.0,250.0,8.1,244.0,2.7787,56000.0,INLAND,2.0
-118.33,34.02,11.0,1249.0,313.0,6.25,336.0,0.8702,170500.0,<1H OCEAN,1.0
-120.45,39.8,47.0,2149.0,456.0,9.65,419.0,1.7829,55900.0,INLAND,2.0
-118.85,34.21,25.0,1328.0,209.0,6.91,228.0,4.9234,241400.0,<1H OCEAN,4.0
-119.81,34.44,14.0,961.0,305.0,6.62,286.0,3.2115,206300.0,NEAR OCEAN,3.0
-117.54,34.55,5.0,2949.0,671.0,16.2,530.0,2.9479,83300.0,INLAND,2.0
-119.72,34.43,46.0,1332.0,329.0,7.46,310.0,3.6719,357400.0,<1H OCEAN,3.0
-117.94,33.7,18.0,4827.0,718.0,24.71,716.0,6.1181,284500.0,<1H OCEAN,5.0
-117.71,34.07,31.0,1840.0,380.0,11.87,357.0,3.8875,129200.0,INLAND,3.0
-118.29,33.93,31.0,3894.0,1017.0,35.9,962.0,2.0437,137200.0,<1H OCEAN,2.0
-120.9,39.93,23.0,2679.0,546.0,14.24,529.0,2.8812,81900.0,INLAND,2.0
-118.74,34.28,21.0,4056.0,637.0,19.74,634.0,5.9024,221000.0,<1H OCEAN,4.0
-118.14,34.05,39.0,1880.0,367.0,9.54,349.0,3.875,236400.0,<1H OCEAN,3.0
-123.73,40.48,25.0,2015.0,524.0,7.46,251.0,1.7153,77100.0,INLAND,2.0
-122.36,40.55,21.0,2500.0,466.0,14.28,502.0,2.6513,113300.0,INLAND,2.0
-116.96,32.87,17.0,4713.0,740.0,25.31,723.0,4.8286,158500.0,<1H OCEAN,4.0
-120.74,39.9,23.0,1017.0,218.0,3.87,152.0,2.2656,88200.0,INLAND,2.0
-117.62,34.05,33.0,883.0,211.0,10.07,210.0,2.8281,103600.0,INLAND,2.0
-120.23,37.96,52.0,1230.0,262.0,6.09,243.0,2.0057,68200.0,INLAND,2.0
-121.98,37.36,33.0,1582.0,272.0,8.09,267.0,5.7059,287200.0,<1H OCEAN,4.0
-122.45,37.79,52.0,2196.0,280.0,6.68,291.0,10.0914,500001.0,NEAR BAY,5.0
-119.01,35.37,35.0,120.0,35.0,4.77,41.0,1.9125,47500.0,INLAND,2.0
-117.1,32.74,14.0,2361.0,601.0,18.31,526.0,1.6102,93400.0,NEAR OCEAN,2.0
-118.17,33.86,40.0,1301.0,342.0,9.54,336.0,2.3804,158000.0,<1H OCEAN,2.0
-120.48,34.7,26.0,3069.0,518.0,15.24,539.0,4.3162,136400.0,NEAR OCEAN,3.0
-117.8,33.92,16.0,5819.0,986.0,23.06,914.0,4.6315,277500.0,<1H OCEAN,4.0
-118.29,33.95,32.0,721.0,205.0,8.42,208.0,1.6029,89700.0,<1H OCEAN,2.0
-118.36,33.82,28.0,67.0,15.0,0.49,11.0,6.1359,330000.0,<1H OCEAN,5.0
-122.26,37.9,37.0,2220.0,335.0,9.03,362.0,7.8336,371300.0,NEAR BAY,5.0
-120.54,38.41,21.0,1435.0,294.0,6.68,267.0,2.5667,77400.0,INLAND,2.0
-119.29,34.45,26.0,2849.0,535.0,13.83,532.0,2.6893,230800.0,<1H OCEAN,2.0
-121.97,37.32,19.0,4620.0,1404.0,26.72,1308.0,3.699,237500.0,<1H OCEAN,3.0
-116.99,32.64,15.0,4331.0,699.0,20.46,627.0,3.9519,193500.0,NEAR OCEAN,3.0
-118.39,34.19,25.0,3794.0,989.0,24.54,876.0,2.9982,204200.0,<1H OCEAN,2.0
-117.08,33.16,11.0,6341.0,1030.0,26.97,977.0,4.8554,206700.0,<1H OCEAN,4.0
-118.32,33.8,29.0,3254.0,717.0,15.93,680.0,4.0536,285800.0,<1H OCEAN,3.0
-118.36,34.07,48.0,1740.0,360.0,7.48,357.0,4.7019,411100.0,<1H OCEAN,4.0
-117.88,33.85,18.0,2705.0,713.0,27.26,674.0,2.7759,200000.0,<1H OCEAN,2.0
-117.91,33.62,35.0,2426.0,359.0,9.37,387.0,9.2175,500001.0,<1H OCEAN,5.0
-119.25,34.26,30.0,2948.0,827.0,16.35,750.0,2.67,214900.0,NEAR OCEAN,2.0
-117.16,32.72,24.0,1232.0,663.0,11.84,626.0,1.0391,162500.0,NEAR OCEAN,1.0
-121.23,37.78,20.0,273.0,49.0,1.49,49.0,4.8229,158300.0,INLAND,4.0
-118.13,34.07,20.0,2130.0,654.0,18.7,578.0,2.3664,192200.0,<1H OCEAN,2.0
-118.44,34.19,37.0,1516.0,344.0,9.83,347.0,5.0,243600.0,<1H OCEAN,4.0
-117.66,33.5,16.0,1956.0,346.0,8.62,326.0,4.4732,186300.0,<1H OCEAN,3.0
-123.32,39.42,22.0,2085.0,432.0,11.33,402.0,2.3906,92600.0,<1H OCEAN,2.0
-118.38,33.82,38.0,1318.0,237.0,5.47,225.0,6.0308,416700.0,NEAR OCEAN,5.0
-118.16,33.89,46.0,940.0,219.0,5.99,214.0,3.2813,190900.0,<1H OCEAN,3.0
-118.1,33.92,35.0,2017.0,383.0,13.88,386.0,4.0774,171600.0,<1H OCEAN,3.0
-118.39,33.89,38.0,1851.0,332.0,7.5,314.0,7.3356,422700.0,<1H OCEAN,5.0
-117.8,33.77,29.0,5436.0,707.0,20.46,685.0,8.7496,349500.0,<1H OCEAN,5.0
-118.0,33.84,29.0,2641.0,637.0,24.13,619.0,2.8169,165100.0,<1H OCEAN,2.0
-118.22,33.95,36.0,1679.0,483.0,22.49,487.0,2.8167,160400.0,<1H OCEAN,2.0
-121.43,37.74,52.0,876.0,170.0,4.26,179.0,3.0865,119800.0,INLAND,3.0
-118.09,33.98,39.0,936.0,194.0,6.91,211.0,3.6875,169500.0,<1H OCEAN,3.0
-118.17,34.09,36.0,3066.0,797.0,30.97,780.0,2.5523,156500.0,<1H OCEAN,2.0
-122.25,37.8,43.0,2344.0,647.0,17.1,644.0,1.6504,151800.0,NEAR BAY,2.0
-118.29,33.84,33.0,896.0,208.0,8.43,200.0,3.5,183000.0,<1H OCEAN,3.0
-118.13,34.06,30.0,1692.0,398.0,11.3,365.0,2.8672,198500.0,<1H OCEAN,2.0
-122.57,38.11,32.0,3521.0,748.0,17.06,723.0,3.4705,228600.0,NEAR BAY,3.0
-120.05,36.97,20.0,2029.0,427.0,9.83,401.0,1.8444,47100.0,INLAND,2.0
-122.03,36.96,18.0,2677.0,785.0,13.91,656.0,2.5067,232600.0,NEAR OCEAN,2.0
-122.17,37.87,38.0,1261.0,177.0,4.72,183.0,6.917000000000001,438000.0,NEAR BAY,5.0
-121.31,38.03,24.0,3050.0,568.0,17.43,549.0,3.7413,105300.0,INLAND,3.0
-119.77,36.72,43.0,1763.0,389.0,16.23,390.0,1.4427,47700.0,INLAND,1.0
-118.51,34.28,29.0,4239.0,653.0,18.9,631.0,6.3911,301700.0,<1H OCEAN,5.0
-117.11,32.7,33.0,1980.0,488.0,16.26,428.0,1.4856,86400.0,NEAR OCEAN,1.0
-117.12,32.75,17.0,2060.0,633.0,12.51,602.0,1.9886,119200.0,NEAR OCEAN,2.0
-117.12,32.7,38.0,818.0,217.0,9.53,231.0,1.0531,65700.0,NEAR OCEAN,1.0
-115.57,32.83,31.0,1494.0,289.0,9.59,284.0,3.5282,67500.0,INLAND,3.0
-122.33,37.89,42.0,1342.0,291.0,5.51,266.0,4.5268,207400.0,NEAR BAY,4.0
-119.64,37.31,15.0,2654.0,530.0,12.67,489.0,2.8393,104400.0,INLAND,2.0
-118.09,33.87,31.0,3498.0,728.0,20.98,697.0,3.9837,246000.0,<1H OCEAN,3.0
-122.13,37.7,19.0,3516.0,710.0,18.1,703.0,3.9032,218000.0,NEAR BAY,3.0
-118.44,34.0,22.0,5822.0,1707.0,33.35,1585.0,3.1579,243100.0,<1H OCEAN,3.0
-119.26,34.46,30.0,3826.0,691.0,16.56,657.0,4.0074,434700.0,<1H OCEAN,3.0
-117.85,34.11,25.0,9255.0,1659.0,49.44,1627.0,4.5708,223000.0,INLAND,4.0
-117.24,32.8,19.0,1863.0,497.0,8.68,503.0,2.2880000000000003,210000.0,NEAR OCEAN,2.0
-122.65,38.01,40.0,1428.0,280.0,7.08,255.0,5.0766,305400.0,NEAR OCEAN,4.0
-118.22,34.07,36.0,839.0,250.0,10.79,245.0,1.7463,158300.0,<1H OCEAN,2.0
-121.92,37.34,52.0,2584.0,491.0,10.87,433.0,4.4,391300.0,<1H OCEAN,3.0
-117.03,33.13,15.0,7000.0,1185.0,35.55,1118.0,4.7022,172800.0,<1H OCEAN,4.0
-122.29,37.89,52.0,1571.0,349.0,6.93,326.0,3.1375,229100.0,NEAR BAY,3.0
-120.57,35.11,18.0,2920.0,556.0,10.68,552.0,3.5242,156800.0,<1H OCEAN,3.0
-117.9,33.64,36.0,2017.0,357.0,8.5,348.0,5.0532,310900.0,<1H OCEAN,4.0
-118.29,33.97,48.0,3139.0,587.0,13.19,506.0,3.5208,134200.0,<1H OCEAN,3.0
-118.52,34.39,21.0,5477.0,1275.0,33.84,1222.0,3.6625,228100.0,<1H OCEAN,3.0
-116.85,34.98,26.0,3606.0,792.0,16.83,608.0,2.6587,57400.0,INLAND,2.0
-120.87,35.41,16.0,2168.0,444.0,7.82,374.0,3.0187,278100.0,NEAR OCEAN,3.0
-117.73,34.07,33.0,1025.0,261.0,8.54,269.0,2.2596,119400.0,INLAND,2.0
-122.36,37.94,27.0,844.0,249.0,5.83,265.0,0.9687,105800.0,NEAR BAY,1.0
-117.8,33.68,14.0,2635.0,516.0,11.5,499.0,4.4391,306700.0,<1H OCEAN,3.0
-118.25,34.17,52.0,1532.0,292.0,6.31,275.0,5.1242,372900.0,<1H OCEAN,4.0
-122.41,37.74,43.0,1663.0,330.0,9.35,335.0,4.1552,240900.0,NEAR BAY,3.0
-118.34,34.2,41.0,2860.0,682.0,15.16,621.0,3.0431,262900.0,<1H OCEAN,3.0
-122.43,37.76,52.0,2332.0,434.0,8.61,406.0,4.4318,437500.0,NEAR BAY,3.0
-121.57,39.48,15.0,202.0,54.0,1.45,40.0,0.8252,42500.0,INLAND,1.0
-117.65,33.46,19.0,7034.0,1139.0,28.24,1068.0,6.0873,277300.0,<1H OCEAN,5.0
-119.44,36.59,28.0,1343.0,330.0,13.31,305.0,1.516,56700.0,INLAND,2.0
-118.52,34.25,11.0,7849.0,1664.0,35.61,1500.0,4.6625,290900.0,<1H OCEAN,4.0
-122.23,37.78,52.0,862.0,215.0,9.94,213.0,3.0257,80800.0,NEAR BAY,3.0
-117.66,33.57,16.0,4277.0,565.0,16.42,549.0,8.0082,286600.0,<1H OCEAN,5.0
-118.28,33.83,18.0,5923.0,1409.0,38.87,1322.0,3.4712,194400.0,<1H OCEAN,3.0
-120.8,37.53,29.0,1162.0,254.0,7.26,225.0,2.1932,90600.0,INLAND,2.0
-118.02,34.02,21.0,5992.0,986.0,26.47,969.0,5.2405,302400.0,<1H OCEAN,4.0
-120.61,35.06,13.0,2364.0,421.0,12.57,380.0,4.6167,273100.0,<1H OCEAN,4.0
-118.23,33.91,34.0,789.0,200.0,10.41,191.0,3.1189999999999998,90300.0,<1H OCEAN,3.0
-122.18,39.55,28.0,1471.0,259.0,6.73,246.0,3.25,81600.0,INLAND,3.0
-122.28,37.88,52.0,1909.0,416.0,8.11,406.0,3.0060000000000002,227900.0,NEAR BAY,3.0
-117.95,34.05,35.0,1309.0,276.0,11.13,253.0,4.375,156500.0,<1H OCEAN,3.0
-121.31,37.94,41.0,375.0,108.0,3.23,98.0,1.9531,45000.0,INLAND,2.0
-118.29,33.85,10.0,1391.0,420.0,13.78,377.0,1.9049,222200.0,<1H OCEAN,2.0
-119.72,34.44,39.0,1489.0,304.0,7.0,268.0,3.8819,289900.0,<1H OCEAN,3.0
-118.29,33.94,47.0,1782.0,338.0,10.03,329.0,2.5398,105700.0,<1H OCEAN,2.0
-118.44,34.02,39.0,3278.0,632.0,13.21,617.0,6.2917,465700.0,<1H OCEAN,5.0
-121.23,38.79,45.0,907.0,176.0,4.63,190.0,2.2292,92000.0,INLAND,2.0
-121.03,37.65,37.0,375.0,58.0,1.2,37.0,3.9844,150000.0,INLAND,3.0
